Facility Name,Type,PCC ID,Finance ID,Paylocity ID,Address,City,State,ZIP,County,Telephone,Fax,AR Start Date,Company,Team,Beds,NPI,CCN,EIN,TimeZone
Alderwood Park Health & Rehabilitation,SNF,40,405,150212,2726 Alderwood Ave,Bellingham,WA,98225,Whatcom,(360) 733-2322,(360) 733-0229,02/01/22,Columbia,Pacific Storm,102,1467111807,505092,873883791,-3
Arbor Valley of Cascadia,SNF,31,117,115722,8211 Ustick Road,Boise,ID,83704,Ada,(208) 375-3700,(208) 375-3760,06/01/20,Envision,Triple Threat,148,1063966638,135079,813270340,-2
Aspen Park of Cascadia,SNF,26,108,80741,420 Rowe Street,Moscow,ID,83843,Latah,(208) 882-4576,(208) 892-8776,10/01/17,Three Rivers,Palouse PAC,70,1194236406,135093,822120403,-3
Beaverton Post Acute of Cascadia,SNF,72,311,346644,11850 SW Allen Blvd.,Beaverton,OR,97005,Washington,(503) 646-7164,(503) 646-5105,12/01/25,Columbia,Trail Blazers,92,1366469330,385195,394555222,-3
Bend Transitional Care,SNF,74,309,346643,900 NE 27th Street,Bend,OR,97701,Deschutes,(541) 382-0479,(541) 389-7054,12/01/25,Columbia,Evergreen Alliance,60,1790925428,385253,394508716,-3
Boswell Transitional Care of Cascadia,SNF,50,502,160258,10601 W. Santa Fe Drive,Sun City,AZ,85351,Maricopa,(623) 832-7000,,08/01/22,Vincero,Rising Phoenix,115,1306578737,35121,882879255,-2
Brookfield Health & Rehabilitation of Cascadia,SNF,19,401,80743,510 North Parkway Avenue,Battle Ground,WA,98604,Clark,(360) 687-5141,(360) 369-6033,09/01/17,Columbia,Bigfoot,83,1790218386,505331,821113133,-3
Caldwell of Cascadia,SNF,20,107,80744,210 Cleveland Boulevard,Caldwell,ID,83605,Canyon,(208) 459-1522,(208) 419-3279,09/01/17,Envision,Ascend,71,1467978460,135014,822108080,-2
Canyon West of Cascadia,SNF,21,105,80745,2814 South Indiana Avenue,Caldwell,ID,83605,Canyon,(208) 459-0808,(208) 459-2876,09/01/17,Envision,Tomahawk,103,1770009680,135051,822108394,-2
Cascadia Healthcare,,13,999,80749,"2205 E Riverside Dr, Suite 100",Eagle,ID,83616,Ada,(208) 401-9600,,05/01/16,Home Office Region,Home Office Center,,,,611774582,-2
Cascadia of Boise,SNF,28,113,80742,6000 West Denton St,Boise,ID,83704,Ada,(208) 629-4383,(208) 376-0466,05/01/18,Envision,Triple Threat,100,1295249241,135146,822939258,-2
Cascadia of Lewiston,SNF,47,123,148741,2852 Juniper Drive,Lewiston,ID,83501,Nez Perce,(208) 748-7700,(208) 748-7750,03/01/22,Three Rivers,Two Rivers,34,1376205260,135145,872677711,-3
Cascadia of Nampa,SNF,27,112,80753,900 N Happy Valley Rd,Nampa,ID,83687,Canyon,(208) 401-9639,(208) 881-0143,11/01/17,Envision,Tomahawk,99,1356867683,135144,822371983,-2
Cherry Ridge of Cascadia,SNF,32,119,115721,501 West Idaho Boulevard,Emmett,ID,83617,Gem,(208) 365-3597,(208) 365-9885,06/01/20,Envision,Ascend,40,1497388003,135095,844391229,-2
Clarkston Health and Rehabilitation of Cascadia,SNF,39,402,140363,1242 11th Street,Clarkston,WA,99403,Asotin,(509) 758-2523,(509) 295-2952,12/01/21,Northern,Northern FORCE,90,1417523887,505283,870891998,-3
Clearwater Health & Rehabilitation of Cascadia,SNF,14,102,80747,1204 Shriver Road,Orofino,ID,83544,Clearwater,(208) 476-4568,(208) 476-3614,01/01/17,Three Rivers,Palouse PAC,60,1760925572,135048,814421338,-3
Coeur d'Alene Health and Rehabilitation of Cascadia,SNF,16,103,80748,2514 N. 7th Street,Coeur D Alene,ID,83814,Kootenai,(208) 664-8128,(208) 665-7073,01/01/17,Northern,North By Northwest,117,1487197299,135052,814421680,-3
Colfax Health and Rehabilitation of Cascadia,SNF,45,404,150214,1150 W Fairview St,Colfax,WA,99111,Whitman,(509) 397-4603,(509) 397-7962,02/01/22,Northern,Northern FORCE,55,1548929987,505251,873884004,-3
Colville Health & Rehabilitation of Cascadia,SNF,51,408,142898,1000 East Elep Avenue,Colville,WA,99114,Stevens,(509) 684-2573,(509) 684-5459,08/01/22,Northern,Northern FORCE,92,1972262335,505275,873668829,-3
